model,params,train_time_sec,inference_ms_per_1k,threshold,precision,recall,f1,roc_auc,pr_auc
MLP (best),4609,7.88563084602356,1.4811786315697955,0.6789543628692627,0.9016393442622951,0.7432432432432432,0.8148148148148148,0.9791058292394816,0.8329154110428977
Autoencoder,4085,46.1292827129364,2.0261449507127614,3.6231963634490967,0.32919254658385094,0.7162162162162162,0.451063829787234,0.9381502000030418,0.49215764656064376
